,Unnamed: 0,Hotel_Name,Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,is_photo,review_title,hotel_grade,employee_friendliness_score,facility_score,cleanliness_score,comfort_score,value_for_money_score,location_score,Crawled_date,title_length,text_length,time_lapsed,Deviation of star ratings,FOG Index,Flesch Reading Ease,ContentDepth,ContentBreadth
828,828,park-plaza-county-hall,"Very good hotel, spacious room with a great view Look forward to staying here again in future",2024-11-11,10.0,8.6,11045,0,0,Exceptional,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02,1,17,21,1.4000000000000004,6.8,79.6,0.6679555120863548,0.827753515639731
829,829,zedwell-trocaderor,Location is Perfect and Staff war very friendlyHeating the room and a lighting was poor And even it is a concept a cabinet is a must in a Hotel,2023-03-02,7.0,7.4,39497,0,0,It did match our needs,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02,5,29,641,0.40000000000000036,14.36,58.96,2.1085050254976703,0.9660020071759141
830,830,blakemore,Handy and good valueThe twin beds had no space between them,2024-10-22,8.0,8.3,12340,0,0,"Enjoyable, modern and clean",4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02,4,11,41,0.3000000000000007,4.4,94.15,1.821260755593879,0.876833878306455
831,831,stgileshotel,"Nice view, nice place and easy to get around the city got a upgrade for freenot very good breakfast, crowded, a bit smelly room",2022-01-03,8.0,7.0,14989,0,0,Very good,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02,2,24,1064,1.0,9.6,89.42,1.3970689105063927,0.6511029321148177
832,832,marlin-waterloo,Location was close to major attraction but we didnt feel safe walking outside in the evening,2022-08-28,7.0,8.1,10695,0,0,Good,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02,1,16,827,1.0999999999999996,11.4,63.7,1.4134745466849583,1.4377445240384763
833,833,stgileshotel,"Good locationNoisy air con, rowdy guests and dirty bed sheets",2023-02-27,5.0,7.0,14989,0,0,Passable,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02,1,10,644,2.0,8.0,78.25,2.186389027897517,0.6675217512889466
834,834,the-clermont-victoria,"Just the location and attitude of the staffThere was a paper tissue left from the previous guest on the nightstand, it stood on the table all over my visit I regularly said to the receptionist about this problem and nothing changed Additionally I stayed in a family room and 2nd bed was full of disappointment I havent experienced such an uncomfortable thing before There was also always a problem on the coffee and pancake machine as well and couldnt use it in first try just for once",2024-01-30,7.0,8.7,6664,2,0,Good,4,9.1,8.7,9.1,9.1,8.0,9.6,2024-12-02,1,87,307,1.6999999999999993,38.94,-8.38,2.0209576056370655,1.5899536958378697
835,835,keystone-house,"Loved the spotless check in, all you need is to tap the digits all the way to your room without the usual hassle of queuing at reception 
Upon check out I left the luggage for couple of hours and that was great
I knew in advance the room is small and there are no lifts, considering the price you pay for this is OK
The AC worked fineMy room was on 1st floor, and it was noisy at night, I highly recommend the management to do something about it",2023-07-11,8.0,7.9,5933,0,0,Overall good,3,8.5,7.9,8.3,8.1,8.1,9.4,2024-12-02,2,89,510,0.09999999999999964,37.4,14.98,1.9969021390407828,0.5440313306905011
836,836,lancaster-gate,"Excellent location 
Clean room
Excellent facilities 
Good breakfast choiceMix up with rooms Given our room number when we got there it was unmade
Given another room",2024-01-09,8.0,7.7,14445,0,0,Very good,3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02,2,26,328,0.2999999999999998,15.02,45.09,1.3591011253373637,1.189899287887856
837,837,lancaster-gate,staff,2021-12-14,5.0,7.7,14445,0,0,"awful staff or lack of staff, so current staff were unhappy",3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02,11,1,1084,2.7,0.4,121.22,2.4194622454519368,0.21250360286984557
