,Hotel_Name,Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,is_photo,review_title,hotel_grade,employee_friendliness_score,facility_score,cleanliness_score,comfort_score,value_for_money_score,location_score,Crawled_date
861,cityinnwestminster,"lovely place, very clean and tidy, staff were amazing and very friendlybit of a walk to the tube station but cannot be helped, not really much nearby in terms of restaurants or shops",2024-08-21,8.0,8.3,7467,0,0,amazing would definitely come here again,4,8.8,8.5,8.8,8.8,7.9,8.9,2024-12-02
862,the-belgrave,"Deluxe double was big, very comfortable and clean, well appointed and with an interesting view across the rooftops of Pimlico",2022-07-19,8.0,8.6,5715,1,0,"Good hotel, reasonably priced for the quality of the rooms",4,9.1,8.6,9.1,9.0,8.3,9.2,2024-12-02
863,marlin-waterloo,Huge room especially for London We were in a suite The kitchen was excellent as we were there a week so we were able to self cater breakfasts ectthe bathroom was an accessible one and the water pooled on the floor outside of the shower area and had to be mopped up with a towel each time Not a biggy but inconvenient,2024-10-22,8.0,8.1,10695,0,0,Very good,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02
864,parkinternational,"Nice clean hotel and good breakfast tooDouble Bed was a bit small Hotel bar had last orders at 1030 just when wed arrived back from a concert and a long walk back, was choking for a cold beer on a warm night",2024-05-30,6.0,7.6,6120,0,0,Handy for Albert Hall,4,8.4,7.5,7.9,8.0,7.4,9.0,2024-12-02
865,phoenixhotel,"Location is excellent, staff great Room clean and comfy Nice breakfast Coffee could be better though  I would recommend despite of few issuesBathroom Fan wasnt working, but its just maintenance issue If you open the wash hand basin tap water noise is an issue, and you can hear the nextdoor neighbours tap too Some noise could be heard from the corridor, and nextdoor neighbours mentioned earlier Someone was smoking in hisher room probably as in came through the undercut door gap via the corridor to my room and it wasnt very pleasant, fortunately was able to open the window to the lightwell",2022-11-18,8.0,8.2,5898,0,0,Nice and Comfy,4,9.0,8.1,8.7,8.5,8.3,9.2,2024-12-02
866,marlin-waterloo,Great location Friendly staffThe room hadnt been cleaned properly The chair in the room hadnt been fluffed from the previous guest and there were candy wrappers in the seat,2024-10-29,9.0,8.1,10695,0,0,Not as good as my first stay but still a good hotel,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02
867,zedwell-trocaderor,locationNo TV in rooms the price should reflect how basic the amenities are but they dont No TV and no window doesnt justify paying 240 for 2 nights,2022-08-13,8.0,7.4,39497,0,0,Very good,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02
868,thistletower,"Fantastic room with fantastic view  Loved it  Coming back to same room in OctoberAn affordable dining option at the hotel
The restaurant is beautiful but at the mo with cost of living rises etc we couldnt manage to dine there and do all the sights
Maybe offer a slightly cheaper set menu, perhaps several options",2022-08-07,9.0,7.7,20956,0,0,"Fabulous, loved it",4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02
869,park-plaza-county-hall,location and ease of accessl dont like heights so glass lifts an issue,2023-01-01,9.0,8.6,11045,1,0,Great friendly staff and comfortable,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02
870,thistletower,Amazing locationNot much AC it was cooler outside Altman in the hotel,2022-08-22,9.0,7.7,20956,0,0,Superb,4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02
871,point-a-london-liverpool-street,CheapA bit noise from the tube line running under the property,2023-08-02,8.0,7.7,8323,0,0,Excellent value,3,8.5,7.8,8.1,8.1,7.6,9.2,2024-12-02
872,keystone-house,It was very close to Kings CrossIt hadnt been hoovered before our arrival as there was crumbs on the floor,2023-04-29,8.0,7.9,5933,0,0,Very good,3,8.5,7.9,8.3,8.1,8.1,9.4,2024-12-02
873,studios2let,The staff were friendly and helpful They assisted with the online check inThe shower was small but good A tea towel to dry the few dishes we used would have been useful,2021-12-10,9.0,7.6,11670,1,0,always a perfect place to stay ,3,8.3,7.5,7.9,7.8,7.6,9.3,2024-12-02
874,park-plaza-county-hall,LocationPoor choice of beers at the bar,2024-09-23,8.0,8.6,11045,0,0,Excellent location,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02
